,Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount,price
129,NAPA WINE COUNTRY.,"California's iconic Napa Valley, one of the world's premier viticultural regions, is known for its undulating vineyards, historic wineries nestled in the trees, and quaint towns that dot the countryside. It is also home to many amazing women who have made names for themselves with wineries and boutique businesses throughout the area. Wine Country Women of Napa Valley celebrates 65 of these leading ladies, showcasing their accomplishments, lifestyles, treasured family recipes, and of course, their favorite wines and pairings. This sumptuous gallery glimpses inside the lives of such luminaries as Violet Grgich of Grgich Hills Estate, Leslie Frank of Frank Family Vineyards, Stephanie Honig of Honig Vineyard and Winery, Susan Hoff of Fantesca Estate & Winery, Sandy Davis of Davis Estates, and Genevieve Janssens of Robert Mondavi Winery, among many others. These prominent women share their treasured recipes, recommendations for companion wines and spirits, and their passion for the valley and the history of their lush surroundings.",['Michelle Mandro'],http://books.google.com/books/content?id=oC5RMQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=oC5RMQAACAAJ&dq=NAPA+WINE+COUNTRY.&hl=&cd=1&source=gbs_api,Cameron,2017-10-31,http://books.google.com/books?id=oC5RMQAACAAJ&dq=NAPA+WINE+COUNTRY.&hl=&source=gbs_api,['Biography & Autobiography'],,25.75
130,"Taboo: Sex, Religion & Magick","Be warned! This book contains descriptions of practices which might be considered as horrid or shocking to most in the Western world. The extensive case histories and rituals expose what is perhaps the most unspeakable (and, for its practitioners, unspoken) taboo of the Western psyche: the union of sex and religion. A must-have for those interested in Sex Magick, Chaos Magick, Thelema, and the Golden Dawn.","['Christopher S. Hyatt', 'Lon Milo DuQuette', 'Diana Hartmann', 'Gary Ford']",http://books.google.com/books/content?id=R7tQOAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.com/books?id=R7tQOAAACAAJ&dq=Taboo:+Sex,+Religion&hl=&cd=1&source=gbs_api",,2008,"http://books.google.com/books?id=R7tQOAAACAAJ&dq=Taboo:+Sex,+Religion&hl=&source=gbs_api",,1.0,15.25
131,"Strange Histories: The Trial of the Pig, the Walking Dead, and Other Matters of Fact from the Medieval and Renaissance Worlds","Strange Histories is an exploration of some of the most extraordinary beliefs that existed in the late Middle Ages through to the end of the seventeenth century. Presenting serious accounts of the appearance of angels and demons, sea monsters and dragons within European and North American history, this book moves away from ""present-centred thinking"" and instead places such events firmly within their social and cultural context. By doing so, it offers a new way of understanding the world in which dragons and witches were fact rather than fiction, and presents these riveting phenomena as part of an entirely rational thought process for the time in which they existed. This new edition extends back into the Renaissance and has been fully updated in light of new research. It also contains a new guide to further reading as well as a selection of new pictures that bring its themes to life. From ghosts, to witches, to pigs on trial for murder, the book uses a range of different case studies to provide fascinating insights into the world-view of a vanished age. It is essential reading for all students of early modern history.",['Darren Oldridge'],http://books.google.com/books/content?id=uG17swEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.com/books?id=uG17swEACAAJ&dq=Strange+Histories:+The+Trial+of+the+Pig,+the+Walking+Dead,+and+Other+Matters+of+Fact+from+the+Medieval+and+Renaissance+Worlds&hl=&cd=1&source=gbs_api",Routledge,2017,"http://books.google.com/books?id=uG17swEACAAJ&dq=Strange+Histories:+The+Trial+of+the+Pig,+the+Walking+Dead,+and+Other+Matters+of+Fact+from+the+Medieval+and+Renaissance+Worlds&hl=&source=gbs_api",['Belief and doubt'],,34.27
132,"Elements of fortification: Field and permanent for the use of students, civilian and military",,['Auguste Frédéric Lendy'],http://books.google.com/books/content?id=SNvX05zOsc0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=SNvX05zOsc0C&printsec=frontcover&dq=Elements+of+fortification:+Field+and+permanent+for+the+use+of+students,+civilian+and+military&hl=&cd=1&source=gbs_api",,1857,https://play.google.com/store/books/details?id=SNvX05zOsc0C&source=gbs_api,['Fortification'],,19.47
133,Oracle9i JDeveloper Handbook,"Introduces the integrated Java development and deployment environment, offering an object-oriented approach to building Web and database applications, with detailed information on JDeveloper 9i IDE, guidelines for using JDeveloper 9i to build Java applications, tips on using JDeveloper 9i to build JSPs, and an overview of Business Components for Java. Original. (Intermediate)","['Peter Koletzke', 'Dr Paul Dorsey', 'Dr Avrom Faderman']",http://books.google.com/books/content?id=P0cfLwq7b5kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=P0cfLwq7b5kC&dq=Oracle9i+JDeveloper+Handbook&hl=&cd=1&source=gbs_api,McGraw-Hill Osborne Media,2003,http://books.google.com/books?id=P0cfLwq7b5kC&dq=Oracle9i+JDeveloper+Handbook&hl=&source=gbs_api,['Computers'],,41.96
134,A Hawaiian Reader,,"['A. Grove Day', 'Carl Stroven']",http://books.google.com/books/content?id=GkWI9AQvbz0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=GkWI9AQvbz0C&q=A+Hawaiian+Reader&dq=A+Hawaiian+Reader&hl=&cd=1&source=gbs_api,Mutual Publishing Company,1998-10,http://books.google.com/books?id=GkWI9AQvbz0C&dq=A+Hawaiian+Reader&hl=&source=gbs_api,['Literary Criticism'],,20.91
135,Son Of The Black Stallion (Turtleback School & Library Binding Edition),"When Alec receives the Black Stallion’s first son as a gift, he believes his dreams have come true, but Satan’s savage arrogance makes him dangerous and unpredictable. Still, Alec is resolved to gain the fiery colt’s trust, even if he must risk his life to do it.",['Walter Farley'],http://books.google.com/books/content?id=GhLsWv_7JcgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=GhLsWv_7JcgC&printsec=frontcover&dq=Son+Of+The+Black+Stallion+(Turtleback+School&hl=&cd=1&source=gbs_api,Yearling,2011-09-28,https://play.google.com/store/books/details?id=GhLsWv_7JcgC&source=gbs_api,['Juvenile Fiction'],4.0,71.88
136,Conscription of Conscience,"""Selected and annotated bibliography"": pages 549-566.","['Mulford Quickert Sibley', 'Philip E. Jacob']",http://books.google.com/books/content?id=WKoQAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=WKoQAQAAMAAJ&q=Conscription+of+Conscience&dq=Conscription+of+Conscience&hl=&cd=1&source=gbs_api,,1952,http://books.google.com/books?id=WKoQAQAAMAAJ&dq=Conscription+of+Conscience&hl=&source=gbs_api,['Conscientious objectors'],,22.38
137,"Gods, graves, and scholars: The story of archaelogy","C.W. Ceram visualized archeology as a wonderful combination of high adventure, romance, history and scholarship, and this book, a chronicle of man's search for his past, reads like a dramatic narrative. We travel with Heinrich Schliemann as, defying the ridicule of the learned world, he actually unearths the remains of the ancient city of Troy. We share the excitement of Lord Carnarvon and Howard Carter as they first glimpse the riches of Tutankhamen's tomb, of George Smith when he found the ancient clay tablets that contained the records of the Biblical Flood. We rediscover the ruined splendors of the Hanging Gardens of Babylon, one of the wonders of the ancient wold; of Chichen Itza, the abandoned pyramids of the Maya: and the legendary Labyrinth of tile Minotaur in Crete. Here is much of the history of civilization and the stories of the men who rediscovered it. Illustrated with drawings, maps, and photographs",['C.W. Ceram'],http://books.google.com/books/content?id=nTUeKxun1pAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=nTUeKxun1pAC&printsec=frontcover&dq=Gods,+graves,+and+scholars:+The+story+of+archaelogy&hl=&cd=1&source=gbs_api",Vintage,2012-01-18,https://play.google.com/store/books/details?id=nTUeKxun1pAC&source=gbs_api,['Social Science'],1.0,28.19
138,How to LIVE 365 Days a Year,,['john a schindler '],http://books.google.com/books/content?id=RVVJilsTTQUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=RVVJilsTTQUC&q=How+to+LIVE+365+Days+a+Year&dq=How+to+LIVE+365+Days+a+Year&hl=&cd=1&source=gbs_api,,1962,http://books.google.nl/books?id=RVVJilsTTQUC&dq=How+to+LIVE+365+Days+a+Year&hl=&source=gbs_api,,,49.74
139,Battle Weapons Of The American Revolution,"The most extensive photographic collection of Revolutionary War weapons ever in one volume. More than 1600 photos of over 500 muskets, rifles, pistols, swords, bayonets, knives and other arms used by both sides in America's War for Independence.",['George C. Neumann'],,http://books.google.com/books?id=88I2AgAACAAJ&dq=Battle+Weapons+Of+The+American+Revolution&hl=&cd=1&source=gbs_api,,1998,http://books.google.com/books?id=88I2AgAACAAJ&dq=Battle+Weapons+Of+The+American+Revolution&hl=&source=gbs_api,,,17.9
140,Bible Studies Lovers of God,"Bible Studies for the Lovers of God is a systematic study of the book of Philippians, prepared by Bob and Rose Weiner in a workbook format.","['Robert T. Weiner', 'Rose Weiner']",http://books.google.com/books/content?id=iD6oAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=iD6oAAAACAAJ&dq=Bible+Studies+Lovers+of+God&hl=&cd=1&source=gbs_api,,1985-01-01,http://books.google.com/books?id=iD6oAAAACAAJ&dq=Bible+Studies+Lovers+of+God&hl=&source=gbs_api,['Study Aids'],,37.1
141,The Paper Jewelry Collection,,,,,,,,,,63.66
142,Marie Taglioni (1804-1884),,,,,,,,,,14.82
143,The Psychology of Tournament Golf,Game Day golf psychology primer for aspiring champions,['David Cook'],,http://books.google.com/books?id=hM6AoAEACAAJ&dq=The+Psychology+of+Tournament+Golf&hl=&cd=1&source=gbs_api,,2014-08-01,http://books.google.com/books?id=hM6AoAEACAAJ&dq=The+Psychology+of+Tournament+Golf&hl=&source=gbs_api,,,36.32
144,Midi Systems and Control (Music Technology),"Taking account of changes in the world of MIDI systems, this book includes examples of real implementations. Rewritten to include a far greater practical element, to complement its technical strengths, the book includes sections on principles and terminolo",['Francis Rumsey'],http://books.google.com/books/content?id=oU0ZAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=oU0ZAQAAIAAJ&q=Midi+Systems+and+Control+(Music+Technology)&dq=Midi+Systems+and+Control+(Music+Technology)&hl=&cd=1&source=gbs_api,Butterworth-Heinemann,1994,http://books.google.com/books?id=oU0ZAQAAIAAJ&dq=Midi+Systems+and+Control+(Music+Technology)&hl=&source=gbs_api,['Technology & Engineering'],,37.71
145,Respected sir,"An omnibus edition of three acclaimed novels by the Nobel Prize-winning Egyptian writer includes Wedding Song, The Search, and Respected Sir, about a man of humble origins who dreams of holding the position of Director General of the governmental department where he works as an archives clerk, an impossible dream that supercedes all other interests or people in his life. Original.",['Najīb Maḥfūẓ'],http://books.google.com/books/content?id=-bNDDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=-bNDDwAAQBAJ&printsec=frontcover&dq=Respected+sir&hl=&cd=1&source=gbs_api,Anchor,2001,http://books.google.com/books?id=-bNDDwAAQBAJ&dq=Respected+sir&hl=&source=gbs_api,['Fiction'],,48.96
146,Focus on Grammar: A Basic Course for Reference and Practice (Complete Student Book),"Reviews and expands students' knowledge of English grammar through listening, speaking, reading, and writing activities.",['Irene Schoenberg'],http://books.google.com/books/content?id=-WF_QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=-WF_QgAACAAJ&dq=Focus+on+Grammar:+A+Basic+Course+for+Reference+and+Practice+(Complete+Student+Book)&hl=&cd=1&source=gbs_api,Longman,2000-01,http://books.google.com/books?id=-WF_QgAACAAJ&dq=Focus+on+Grammar:+A+Basic+Course+for+Reference+and+Practice+(Complete+Student+Book)&hl=&source=gbs_api,['Foreign Language Study'],,17.84
147,The Vulcan Solution,"In this explosive series from New York Times bestseller Harold Coyle and noted military author Barrett Tillman, a new type of war is being fought by private paramilitary companies at the beck and call of the highest bidder. With its military and intelligence agencies spread thin, the United States constantly calls upon the services of these organizations--and Strategic Solutions, Inc. is among the best. After a few bloody and unprofitable contracts, SSI is faced with a financial crisis. Forced to take contracts from less than reputable clients, the upper management and field agents find themselves in a labor dispute. When the Israeli government offers SSI an opportunity to help Druze militias in southern Lebanon fend off encroachment by Hezbollah, they know it's a fragile situation. If the truth were known, the international outcry against Israel would be deafening. Forced to work with a government whose ultimate motives are unclear, SSI takes the job and descends into a shadowy no-man's-land of tangled alliances and hostilities. Meanwhile, Hezbollah elements are planning their most audacious strike yet, assembling teams to detonate suitcase nukes in contested areas of Lebanon, hoping to destabilize the entire country. Caught between two elements of an age-old conflict, the battles the SSI fights may be a diversion... At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.","['Harold Coyle', 'Barrett Tillman']",http://books.google.com/books/content?id=SINTwa06PUcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=SINTwa06PUcC&printsec=frontcover&dq=The+Vulcan+Solution&hl=&cd=1&source=gbs_api,Forge Books,2009-11-03,https://play.google.com/store/books/details?id=SINTwa06PUcC&source=gbs_api,['Fiction'],2.0,17.11
